Propellant 
+657         100.00 g   # NITROUS OXIDE                 
+1029     1 g   # EICOSANE (PARAFFIN)           

FR
+chamber_pressure     50.00-750 psi
+exit_pressure .001 psi

Stepping value 1:  NITROUS OXIDE                 
Stepping value 2: Chamber Pressure
Calculation case: Shifting equilibrium
Data column 1: Chamber Pressure
Data column 2: Chamber Temperature
Data column 3: Chamber M (g/mol)
Data column 4: Chamber Gamma
Data column 5: Exit C*
Data column 6: Exit Isp

Results: Shifting equilibrium
  Stepvalue 1  Stepvalue 2     Data  1     Data  2     Data  3     Data  4     Data  5     Data  6
         6.70         0.00       3.402    3080.405      24.815     1.14260  1594.11286   328.18934
         6.80         0.00       3.402    3084.657      24.899     1.14147  1593.27826   328.79631
         6.90         0.00       3.402    3088.338      24.980     1.14046  1592.30719   329.38802
         7.00         0.00       3.402    3091.498      25.059     1.13955  1591.21685   329.96498
         7.10         0.00       3.402    3094.183      25.135     1.13873  1590.02061   330.52766
         7.20         0.00       3.402    3096.433      25.210     1.13800  1588.73335   331.07653
         7.30         0.00       3.402    3098.287      25.282     1.13734  1587.36567   331.61204
         7.40         0.00       3.402    3099.779      25.352     1.13675  1585.93007   332.13463
         7.50         0.00       3.402    3100.940      25.421     1.13622  1584.43535   332.64472
         7.60         0.00       3.402    3101.799      25.487     1.13575  1582.89002   333.14270
         7.70         0.00       3.402    3102.380      25.552     1.13533  1581.30162   333.62897
         7.80         0.00       3.402    3102.709      25.615     1.13495  1579.67702   334.10326
         7.90         0.00       3.402    3102.805      25.676     1.13461  1578.02247   334.56470
         8.00         0.00       3.402    3102.687      25.736     1.13431  1576.34375   335.01342
         8.10         0.00       3.402    3102.375      25.795     1.13404  1574.64465   335.44944
         8.20         0.00       3.402    3101.882      25.852     1.13380  1572.92971   335.87261
         8.30         0.00       3.402    3101.225      25.908     1.13359  1571.20182   336.28271
         8.40         0.00       3.402    3100.416      25.962     1.13341  1569.46471   336.67946
         8.50         0.00       3.402    3099.466      26.015     1.13324  1567.72189   337.06265
         8.60         0.00       3.402    3098.388      26.067     1.13310  1565.97438   337.43217
         8.70         0.00       3.402    3097.191      26.117     1.13298  1564.22489   337.78793
         8.80         0.00       3.402    3095.885      26.167     1.13288  1562.47555   338.12984
         8.90         0.00       3.402    3094.477      26.215     1.13279  1560.72811   338.45768
         9.00         0.00       3.402    3092.976      26.262     1.13272  1558.98438   338.77106
         9.10         0.00       3.402    3091.389      26.309     1.13267  1557.24444   339.06928
         9.20         0.00       3.402    3089.722      26.354     1.13262  1555.50916   339.35107
         9.30         0.00       3.402    3087.981      26.398     1.13259  1553.78057   339.61412
         9.40         0.00       3.402    3086.172      26.442     1.13257  1552.05940   339.85315
         9.50         0.00       3.402    3084.299      26.484     1.13256  1550.34641   340.04437
         9.60         0.00       3.402    3082.369      26.525     1.13257  1548.64246   339.21227
         9.70         0.00       3.402    3080.384      26.566     1.13258  1546.94633   338.35090
         9.80         0.00       3.402    3078.349      26.606     1.13260  1545.26019   337.49285
         9.90         0.00       3.402    3076.268      26.645     1.13263  1543.58411   336.64102
        10.00         0.00       3.402    3074.144      26.683     1.13266  1541.91807   335.79671
        10.10         0.00       3.402    3071.980      26.721     1.13271  1540.26261   334.96061
        10.20         0.00       3.402    3069.780      26.757     1.13276  1538.61837   334.13312
